2014-12-16 22:20:11,424 [15] INFO  DayKLog [(null)] - Line:115  code:601666,date:平煤股份 starting 
2014-12-16 22:20:11,431 [16] INFO  DayKLog [(null)] - Line:116  code:600519,date:贵州茅台 starting 
2014-12-16 22:20:11,537 [11] INFO  DayKLog [(null)] - Line:117  code:600887,date:伊利股份 starting 
2014-12-16 22:20:11,653 [1] INFO  DayKLog [(null)] - Line:118  code:000983,date:西山煤电 starting 
2014-12-16 22:20:11,691 [23] INFO  DayKLog [(null)] - Line:119  code:002477,date:雏鹰农牧 starting 
2014-12-16 22:20:11,801 [21] INFO  DayKLog [(null)] - Line:120  code:600348,date:阳泉煤业 starting 
2014-12-16 22:20:12,090 [9] INFO  DayKLog [(null)] - Line:121  code:002304,date:洋河股份 starting 
2014-12-16 22:20:12,177 [20] INFO  DayKLog [(null)] - Line:122  code:000895,date:双汇发展 starting 
2014-12-16 22:20:12,357 [18] INFO  DayKLog [(null)] - Line:123  code:601699,date:潞安环能 starting 
2014-12-16 22:20:12,420 [14] INFO  DayKLog [(null)] - Line:124  code:600872,date:中炬高新 starting 
2014-12-16 22:20:12,934 [24] INFO  DayKLog [(null)] - Line:125  code:600157,date:永泰能源 starting 
2014-12-16 22:20:12,985 [19] INFO  DayKLog [(null)] - Line:126  code:600616,date:金枫酒业 starting 
2014-12-16 22:20:13,520 [25] INFO  DayKLog [(null)] - Line:127  code:601101,date:昊华能源 starting 
2014-12-16 22:20:13,528 [13] INFO  DayKLog [(null)] - Line:128  code:600403,date:大有能源 starting 
2014-12-16 22:20:13,677 [17] INFO  DayKLog [(null)] - Line:129  code:000937,date:冀中能源 starting 
2014-12-16 22:20:13,832 [16] INFO  DayKLog [(null)] - Line:130  code:600588,date:用友软件 starting 
2014-12-16 22:20:13,968 [6] INFO  DayKLog [(null)] - Line:131  code:300064,date:豫金刚石 starting 
2014-12-16 22:20:14,164 [22] INFO  DayKLog [(null)] - Line:132  code:002582,date:好想你 starting 
2014-12-16 22:20:14,388 [12] INFO  DayKLog [(null)] - Line:133  code:600395,date:盘江股份 starting 
2014-12-16 22:20:14,706 [15] INFO  DayKLog [(null)] - Line:134  code:600997,date:开滦股份 starting 
2014-12-16 22:20:15,041 [1] INFO  DayKLog [(null)] - Line:135  code:600123,date:兰花科创 starting 
2014-12-16 22:20:15,154 [11] INFO  DayKLog [(null)] - Line:136  code:601028,date:玉龙股份 starting 
2014-12-16 22:20:15,383 [23] INFO  DayKLog [(null)] - Line:137  code:600260,date:凯乐科技 starting 
2014-12-16 22:20:15,427 [20] INFO  DayKLog [(null)] - Line:138  code:600138,date:中青旅 starting 
2014-12-16 22:20:15,651 [18] INFO  DayKLog [(null)] - Line:139  code:000780,date:平庄能源 starting 
2014-12-16 22:20:15,656 [21] INFO  DayKLog [(null)] - Line:140  code:601001,date:大同煤业 starting 
2014-12-16 22:20:15,773 [19] INFO  DayKLog [(null)] - Line:141  code:600754,date:锦江股份 starting 
2014-12-16 22:20:15,902 [9] INFO  DayKLog [(null)] - Line:142  code:600219,date:南山铝业 starting 
2014-12-16 22:20:16,132 [13] INFO  DayKLog [(null)] - Line:143  code:601225,date:陕西煤业 starting 
2014-12-16 22:20:16,198 [6] INFO  DayKLog [(null)] - Line:144  code:601601,date:中国太保 starting 
2014-12-16 22:20:16,346 [22] INFO  DayKLog [(null)] - Line:145  code:601336,date:新华保险 starting 
2014-12-16 22:20:16,532 [14] INFO  DayKLog [(null)] - Line:146  code:000090,date:民生家盈理财月度债券B starting 
2014-12-16 22:20:16,686 [24] INFO  DayKLog [(null)] - Line:147  code:002594,date:比亚迪 starting 
2014-12-16 22:20:16,864 [12] INFO  DayKLog [(null)] - Line:148  code:600104,date:上汽集团 starting 
2014-12-16 22:20:16,980 [15] INFO  DayKLog [(null)] - Line:149  code:600631,date:百联股份 starting 
2014-12-16 22:20:17,178 [1] INFO  DayKLog [(null)] - Line:150  code:600498,date:烽火通信 starting 
2014-12-16 22:20:17,406 [20] INFO  DayKLog [(null)] - Line:151  code:300178,date:腾邦国际 starting 
2014-12-16 22:20:17,556 [21] INFO  DayKLog [(null)] - Line:152  code:002224,date:三力士 starting 
2014-12-16 22:20:17,711 [19] INFO  DayKLog [(null)] - Line:153  code:601888,date:中国国旅 starting 
2014-12-16 22:20:17,841 [13] INFO  DayKLog [(null)] - Line:154  code:601918,date:国投新集 starting 
2014-12-16 22:20:18,035 [6] INFO  DayKLog [(null)] - Line:155  code:000783,date:长江证券 starting 
2014-12-16 22:20:18,115 [22] INFO  DayKLog [(null)] - Line:156  code:600598,date:*ST大荒 starting 
2014-12-16 22:20:18,236 [15] INFO  DayKLog [(null)] - Line:157  code:600694,date:大商股份 starting 
2014-12-16 22:20:18,245 [12] INFO  DayKLog [(null)] - Line:158  code:000868,date:安凯客车 starting 
2014-12-16 22:20:18,344 [1] INFO  DayKLog [(null)] - Line:159  code:300050,date:世纪鼎利 starting 
2014-12-16 22:20:18,560 [25] INFO  DayKLog [(null)] - Line:160  code:600999,date:招商证券 starting 
2014-12-16 22:20:18,720 [17] INFO  DayKLog [(null)] - Line:161  code:600508,date:上海能源 starting 
2014-12-16 22:20:18,847 [16] INFO  DayKLog [(null)] - Line:162  code:600010,date:包钢股份 starting 
2014-12-16 22:20:19,512 [26] INFO  DayKLog [(null)] - Line:163  code:601555,date:东吴证券 starting 
2014-12-16 22:20:19,529 [11] INFO  DayKLog [(null)] - Line:164  code:300337,date:银邦股份 starting 
2014-12-16 22:20:19,567 [20] INFO  DayKLog [(null)] - Line:165  code:002068,date:黑猫股份 starting 
2014-12-16 22:20:19,760 [21] INFO  DayKLog [(null)] - Line:166  code:600030,date:中信证券 starting 
2014-12-16 22:20:19,822 [23] INFO  DayKLog [(null)] - Line:167  code:002707,date:众信旅游 starting 
2014-12-16 22:20:19,908 [19] INFO  DayKLog [(null)] - Line:168  code:300144,date:宋城演艺 starting 
2014-12-16 22:20:20,119 [13] INFO  DayKLog [(null)] - Line:169  code:600971,date:恒源煤电 starting 
2014-12-16 22:20:20,121 [6] INFO  DayKLog [(null)] - Line:170  code:600109,date:国金证券 starting 
2014-12-16 22:20:20,521 [18] INFO  DayKLog [(null)] - Line:171  code:600884,date:杉杉股份 starting 
2014-12-16 22:20:20,839 [9] INFO  DayKLog [(null)] - Line:172  code:600153,date:建发股份 starting 
2014-12-16 22:20:20,908 [22] INFO  DayKLog [(null)] - Line:173  code:600366,date:宁波韵升 starting 
2014-12-16 22:20:21,117 [15] INFO  DayKLog [(null)] - Line:174  code:300041,date:回天新材 starting 
2014-12-16 22:20:21,289 [14] INFO  DayKLog [(null)] - Line:175  code:600535,date:天士力 starting 
2014-12-16 22:20:21,493 [24] INFO  DayKLog [(null)] - Line:176  code:000970,date:中科三环 starting 
2014-12-16 22:20:22,012 [10] INFO  DayKLog [(null)] - Line:177  code:300127,date:银河磁体 starting 
2014-12-16 22:20:22,063 [12] INFO  DayKLog [(null)] - Line:178  code:002491,date:通鼎光电 starting 
2014-12-16 22:20:22,154 [25] INFO  DayKLog [(null)] - Line:179  code:300155,date:安居宝 starting 
2014-12-16 22:20:22,259 [1] INFO  DayKLog [(null)] - Line:180  code:002083,date:孚日股份 starting 
2014-12-16 22:20:22,471 [20] INFO  DayKLog [(null)] - Line:181  code:600502,date:安徽水利 starting 
2014-12-16 22:20:22,611 [21] INFO  DayKLog [(null)] - Line:182  code:000776,date:广发证券 starting 
2014-12-16 22:20:23,041 [17] INFO  DayKLog [(null)] - Line:183  code:600546,date:山煤国际 starting 
2014-12-16 22:20:23,098 [19] INFO  DayKLog [(null)] - Line:184  code:600521,date:华海药业 starting 
2014-12-16 22:20:23,694 [13] INFO  DayKLog [(null)] - Line:185  code:002496,date:辉丰股份 starting 
2014-12-16 22:20:23,883 [6] INFO  DayKLog [(null)] - Line:186  code:000821,date:京山轻机 starting 
2014-12-16 22:20:24,030 [22] INFO  DayKLog [(null)] - Line:187  code:000049,date:德赛电池 starting 
2014-12-16 22:20:24,030 [15] INFO  DayKLog [(null)] - Line:188  code:002281,date:光迅科技 starting 
2014-12-16 22:20:24,208 [10] INFO  DayKLog [(null)] - Line:189  code:300024,date:机器人 starting 
2014-12-16 22:20:24,263 [12] INFO  DayKLog [(null)] - Line:190  code:600693,date:东百集团 starting 
2014-12-16 22:20:24,448 [1] INFO  DayKLog [(null)] - Line:191  code:002662,date:京威股份 starting 
2014-12-16 22:20:24,569 [20] INFO  DayKLog [(null)] - Line:192  code:600068,date:葛洲坝 starting 
2014-12-16 22:20:24,644 [21] INFO  DayKLog [(null)] - Line:193  code:600837,date:海通证券 starting 
2014-12-16 22:20:25,276 [19] INFO  DayKLog [(null)] - Line:194  code:300170,date:汉得信息 starting 
2014-12-16 22:20:26,017 [27] INFO  DayKLog [(null)] - Line:195  code:002128,date:露天煤业 starting 
2014-12-16 22:20:26,289 [13] INFO  DayKLog [(null)] - Line:196  code:002334,date:英威腾 starting 
2014-12-16 22:20:26,363 [6] INFO  DayKLog [(null)] - Line:197  code:002184,date:海得控制 starting 
2014-12-16 22:20:26,553 [22] INFO  DayKLog [(null)] - Line:198  code:300037,date:新宙邦 starting 
2014-12-16 22:20:26,724 [15] INFO  DayKLog [(null)] - Line:199  code:000933,date:神火股份 starting 
2014-12-16 22:20:27,513 [28] INFO  DayKLog [(null)] - Line:200  code:300248,date:新开普 starting 
2014-12-16 22:20:28,511 [29] INFO  DayKLog [(null)] - Line:201  code:002049,date:同方国芯 starting 
2014-12-16 22:20:28,559 [10] INFO  DayKLog [(null)] - Line:202  code:002138,date:顺络电子 starting 
2014-12-16 22:20:28,780 [12] INFO  DayKLog [(null)] - Line:203  code:300096,date:易联众 starting 
2014-12-16 22:20:29,146 [1] INFO  DayKLog [(null)] - Line:204  code:600383,date:金地集团 starting 
2014-12-16 22:20:29,511 [30] INFO  DayKLog [(null)] - Line:205  code:000069,date:华侨城A starting 
2014-12-16 22:20:29,624 [16] INFO  DayKLog [(null)] - Line:206  code:300034,date:钢研高纳 starting 
2014-12-16 22:20:29,845 [26] INFO  DayKLog [(null)] - Line:207  code:000656,date:金科股份 starting 
